English,Kannada
as,ಹಾಗೆ
I,ನಾನು
his,ಅವನ
that,ಅದು
he,ಅವನು
was,ಅದು
for,ಇದಕ್ಕೆ
on,ಮೇಲೆ
are,ಅವುಗಳು
with,ಜೊತೆ
they,ಅವರು
be,ಇರು
at,ಮೇಲೆ
one,ಒಂದು
have,ಹೊಂದಿ
this,ಇದು
from,ಅದರಿಂದ
by,ಮೂಲಕ
hot,ಬಿಸಿ
word,ಪದ
but,ಆದರೆ
what,ಏನು
some,ಕೆಲವು
is,ಇದೆ
it,ಅದು
you,ನೀನು
or,ಅಥವಾ
had,ಹೊಂದಿತ್ತು
the,ದಿ
of,ಅದರ
to,ಗೆ
and,ಮತ್ತು
a,ಒಂದು
in,ಒಳಗೆ
we,ನಾವು
can,ಅನುಕೂಲ
out,ಹೊರಗೆ
other,ಇತರೆ
were,ಇದ್ದರು
which,ಇದು
do,ಡು
their,ಅವರ
time,ಸಮಯ
if,ವೇಳೆ
will,ವಿಲ್
how,ಹೇಗೆ
said,ಹೇಳಲಾಗಿದೆ
an,ಒಂದು
each,ಪ್ರತಿಯೊಂದೂ
tell,ಹೇಳು
does,ಮಾಡು
set,ಸೆಟ್
three,ಮೂರು
want,ಬಯಕೆ
air,ಗಾಳಿ
well,ಚೆನ್ನಾಗಿ
also,ಸಹ
play,ಆಟ
small,ಸಣ್ಣ
end,ಕೊನೆ
put,ಪುಟ್
home,ಮನೆ
read,ಓದು
hand,ಕೈ
port,ಬಂದರು
large,ದೊಡ್ಡ
spell,ಕಾಗುಣಿತ
add,ಸೇರಿಸಿ
even,ಸಹ
land,ಜಮೀನು
here,ಇಲ್ಲಿ
must,ಇರಬೇಕು
big,ದೊಡ್ಡ
high,ಎತ್ತರದ
such,ಅಂತಹ
follow,ಅನುಸರಿಸು
act,ಆಕ್ಟ್
why,ಏಕೆ
ask,ಕೇಳಿ
men,ಪುರುಷರು
change,ಬದಲಾವಣೆ
went,ಹೋದರು
light,ಬೆಳಕು
kind,ರೀತಿಯ
off,ಆರಿಸಿ
need,ಅಗತ್ಯ
house,ಮನೆ
picture,ಚಿತ್ರ
try,ಪ್ರಯತ್ನಿಸಿ
us,ನಮ್ಮ
again,ಮತ್ತೆ
animal,ಪ್ರಾಣಿ
point,ಪಾಯಿಂಟ್
mother,ತಾಯಿ
world,ಪ್ರಪಂಚ
near,ಹತ್ತಿರ
build,ನಿರ್ಮಿಸಲು
self,ಆತ್ಮ
earth,ಭೂಮಿ
father,ತಂದೆ
any,ಯಾವುದಾದರು
new,ಹೊಸ
work,ಕೆಲಸ
part,ಭಾಗ
take,ತೆಗೆದುಕೋ
get,ಪಡೆಯಿರಿ
place,ಸ್ಥಳ
made,ಮಾಡಿದ
live,ಲೈವ್
where,ಎಲ್ಲಿ
after,ನಂತರ
back,ಮತ್ತೆ
little,ಸ್ವಲ್ಪ
only,ಕೇವಲ
round,ಸುತ್ತಿನಲ್ಲಿ
man,ಮನುಷ್ಯ
year,ವರ್ಷ
came,ಬಂದೆ
show,ತೋರಿಸು
every,ಪ್ರತಿ
good,ಒಳ್ಳೆಯ
me,ನನಗೆ
give,ಕೊಡು
our,ನಮ್ಮ
under,ಅಡಿಯಲ್ಲಿ
name,ಹೆಸರು
very,ಬಹಳ
through,ಮೂಲಕ
just,ಕೇವಲ
form,ರೂಪ
sentence,ವಾಕ್ಯ
great,ದೊಡ್ಡ
think,ಯೋಚಿಸು
say,ಹೇಳು
help,ಸಹಾಯ
low,ಕಡಿಮೆ
line,ಸಾಲು
differ,ಭಿನ್ನವಾಗಿ
turn,ತಿರುಗಿಸು
cause,ಕಾಸ್
much,ಹೆಚ್ಚು
mean,ಅರ್ಥ
before,ಮೊದಲು
move,ಸರಿಸಿ
right,ಬಲ
boy,ಹುಡುಗ
old,ಹಳೆಯ
too,ಕೂಡಾ
same,ಅದೇ ರೀತಿಯಾಗಿ
she,ಅವಳು
all,ಎಲ್ಲರೂ
there,ಅಲ್ಲಿ
when,ಯಾವಾಗ
up,ಮೇಲೆ
use,ಬಳಕೆ
your,ನಿಮ್ಮ
way,ದಾರಿ
about,ಅದರ ಬಗ್ಗೆ
many,ಅನೇಕ
then,ನಂತರ
them,ಅವರು
write,ಬರೆ
would,ಎಂದು
like,ಹಾಗೆ
so,ಆದ್ದರಿಂದ
these,ಇವು
her,ಅವಳು
long,ದೀರ್ಘ
make,ಮಾಡಿ
thing,ವಿಷಯ
see,ನೋಡು
him,ಅವನಿಗೆ
two,ಎರಡು
has,ಇದೆ
look,ನೋಡೋಣ
more,ಇನ್ನಷ್ಟು
day,ದಿನ
could,ಸಾಧ್ಯವೋ
go,ಹೋಗು
come,ಕಮ್
did,ಮಾಡಿದ
number,ಸಂಖ್ಯೆ
sound,ಶಬ್ದ
no,ಇಲ್ಲ
most,ಹೆಚ್ಚು
people,ಜನರು
my,ನನ್ನ
over,ಮೇಲೆ
know,ತಿಳಿ
water,ನೀರು
than,ಹೆಚ್ಚು
call,ಕರೆ
first,ಪ್ರಥಮ
who,who
may,ಮೇ
down,ಕೆಳಗೆ
side,ಬದಿ
been,ಅದು
now,ಈಗ
